ID,NAME,DIV,W,L,PCT,GB,HOMEWIN,HOMELOSS,AWAY,AWAYLOSS,DIVWIN,DIVLOSS,CONF,CONFLOSS,PPG,OPP PPG
PHO,Phoenix Suns,5,64,18,0.78,0,32,9,32,9,10,6,39,13,114.8,107.4
MEM,Memphis Grizzlies,6,56,26,0.683,8,30,11,26,15,11,5,36,16,115.6,109.9
MIA,Miami Heat,3,53,29,0.646,11,29,12,24,17,13,3,35,17,110,105.6
GSW,Golden State Warriors,5,53,29,0.646,11,31,10,22,19,12,4,33,19,111,105.5
DAL,Dallas Mavericks,6,52,30,0.634,12,29,12,23,18,14,2,36,16,108,104.7
BOS,Boston Celtics,1,51,31,0.622,13,28,13,23,18,9,7,33,19,111.8,104.5
MIL,Milwaukee Bucks,2,51,31,0.622,13,27,14,24,17,12,4,33,19,115.5,112.1
PHI,Philadelphia 76ers,1,51,31,0.622,13,24,17,27,14,6,10,32,20,109.9,107.3
UTA,Utah Jazz,4,49,33,0.598,15,29,12,20,21,15,1,33,19,113.6,107.6
TOR,Toronto Raptors,1,48,34,0.585,16,24,17,24,17,10,6,30,22,109.4,107.1
DEN,Denver Nuggets,4,48,34,0.585,16,23,18,25,16,6,10,29,23,112.7,110.4
MIN,Minnesota Timberwolves,4,46,36,0.561,18,26,15,20,21,12,4,32,20,116,113.3
CHI,Chicago Bulls,2,46,36,0.561,18,27,14,19,22,10,6,29,23,111.6,112
BRK,Brooklyn Nets,1,44,38,0.537,20,20,21,24,17,10,6,31,21,112.9,112.1
CLE,Cleveland Cavaliers,2,44,38,0.537,20,25,16,19,22,10,6,27,25,107.8,105.7
ATL,Atlanta Hawks,3,43,39,0.524,21,27,14,16,25,9,7,26,26,113.9,112.4
CHO,Charlotte Hornets,3,43,39,0.524,21,22,19,21,20,8,8,27,25,115.3,114.9
LAC,Los Angeles Clippers,5,42,40,0.512,22,25,16,17,24,9,7,26,26,108.4,108.4
NYK,New York Knicks,1,37,45,0.451,27,17,24,20,21,5,11,22,30,106.5,106.6
NOP,New Orleans Pelicans,6,36,46,0.439,28,19,22,17,24,6,10,25,27,109.3,110.3
WAS,Washington Wizards,3,35,47,0.427,29,21,20,14,27,7,9,24,28,108.6,112
SAS,San Antonio Spurs,6,34,48,0.415,30,16,25,18,23,6,10,24,28,113.2,113
LAL,Los Angeles Lakers,5,33,49,0.402,31,21,20,12,29,3,13,18,34,112.1,115.1
SAC,Sacramento Kings,5,30,52,0.366,34,16,25,14,27,6,10,20,32,110.3,115.8
POR,Portland Trail Blazers,4,27,55,0.329,37,17,24,10,31,1,15,11,41,106.2,115.1
IND,Indiana Pacers,2,25,57,0.305,39,12,29,9,32,2,14,11,41,111.5,114.9
OKC,Oklahoma City Thunder,4,24,58,0.293,40,12,29,12,29,6,10,17,35,103.7,111.8
DET,Detroit Pistons,2,23,59,0.28,41,13,28,13,28,6,10,18,34,104.8,112.5
ORL,Orlando Magic,3,22,60,0.268,42,12,29,12,29,3,13,12,40,104.2,112.2
HOU,Houston Rockets,6,20,62,0.244,44,11,30,11,30,3,13,11,41,109.7,118.2
