,year,round,draft_pick,draft_team,player,player_url,position,age,college,college_stats_url,pic_url,bday,hs,height,weight,height_decimal,birthplace_town,birthplace_state,home_state,conference,bmi,Career_year,Career_school,Career_conference,Career_class,Career_position,Career_games,Career_completions,Career_attempts,Career_comp_pct,Career_passing_yds,Career_yds_per_att,Career_adj_yds_per_att,Career_passing_td,Career_interceptions,Career_pass_eff_rate,Best_year,Best_school,Best_conference,Best_class,Best_position,Best_games,Best_completions,Best_attempts,Best_comp_pct,Best_passing_yds,Best_yds_per_att,Best_adj_yds_per_att,Best_passing_td,Best_interceptions,Best_pass_eff_rate,Career_rush_attempts,Career_rush_yds,Career_rush_avg,Career_rush_td,Career_receptions,Career_rec_yds,Career_rec_avg,Career_rec_td,Career_r_total_plays,Career_r+total_yds,Career_r_total_avg,Career_r_total_td
0,2022,1,20,PIT,Kenny Pickett,https://www.pro-football-reference.com/players/P/PickKe00.htm,QB,24,Pittsburgh,http://www.sports-reference.com/cfb/players/kenny-pickett-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/PickKe00_2022.jpg,6/6/1998,"Ocean Twp.,NJ",6'3,220,6.25,Oakhurst,"NJ, ",NJ,ACC,27.5,Career,Pitt,ACC,SR,QB,52,1045,1674,62.4,12303,7.3,7.5,81,32,136.3,2021,Pitt,ACC,SR,QB,13,334,497,67.2,4319,8.7,9.7,42,7,165.3,416,809,1.9,20,2,-9,-4.5,1,418,800,1.9,21
1,2022,3,74,ATL,Desmond Ridder,https://www.pro-football-reference.com/players/R/RiddDe00.htm,QB,23,Cincinnati,http://www.sports-reference.com/cfb/players/desmond-ridder-1.html,,8/31/1999,"St. Xavier,KY",6'4,215,6.33,Louisville,"KY, ",KY,AAC,26.2,Career,Cincinnati,American,SR,QB,50,810,1304,62.1,10239,7.9,8.2,87,28,145.8,2021,Cincinnati,American,SR,QB,14,251,387,64.9,3334,8.6,9.2,30,8,158.7,501,2180,4.4,28,2,8,4,1,503,2188,4.3,29
2,2022,3,86,TEN,Malik Willis,https://www.pro-football-reference.com/players/W/WillMa12.htm,QB,23,Liberty,http://www.sports-reference.com/cfb/players/malik-willis-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/WillMa12_2022.jpg,5/25/1999,"Westlake,GA,Roswell,GA",6'1,215,6.08,College Park,"GA, ",GA,Independents,28.4,Career,Overall,Ind,JR,QB,35,388,618,62.8,5176,8.4,8.6,48,18,152.9,2021,Liberty,Ind,JR,QB,13,207,339,61.1,2857,8.4,8.4,27,12,151.1,366,2131,5.8,29,1,13,13,0,367,2144,5.8,29
3,2022,3,94,CAR,Matt Corral,https://www.pro-football-reference.com/players/C/CorrMa00.htm,QB,23,Mississippi,http://www.sports-reference.com/cfb/players/matt-corral-1.html,,1/31/1999,"Oaks Christian,CA,Long Beach Polytechnic,CA",6'1,205,6.08,Ventura,"CA, ",CA,SEC,27.1,Career,Ole Miss,SEC,JR,QB,37,614,912,67.3,8287,9.1,9.2,57,23,159.2,2021,Ole Miss,SEC,JR,QB,13,262,386,67.9,3349,8.7,9.1,20,5,155.3,334,1338,4,18,1,19,19,0,335,1357,4.1,18
4,2022,4,137,NWE,Bailey Zappe,https://www.pro-football-reference.com/players/Z/ZappBa00.htm,QB,23,Western Kentucky,http://www.sports-reference.com/cfb/players/bailey-zappe-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/ZappBa00_2022.jpg,4/26/1999,"Victoria East,TX",6'1,220,6.08,,,TX,CUSA,29.1,Career,Western Kentucky,CUSA,SR,QB,14,475,686,69.2,5967,8.7,9.8,62,11,168.9,2021,Western Kentucky,CUSA,SR,QB,14,475,686,69.2,5967,8.7,9.8,62,11,168.9,51,17,0.3,3,0,0,,0,51,17,0.3,3
5,2022,5,144,WAS,Sam Howell,https://www.pro-football-reference.com/players/H/HoweSa00.htm,QB,21,North Carolina,http://www.sports-reference.com/cfb/players/sam-howell-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/HoweSa00_2022.jpg,9/16/2000,"Sun Valley,NC",6'1,220,6.08,Waynesville,"NC, ",NC,ACC,29.1,Career,North Carolina,ACC,JR,QB,37,713,1117,63.8,10283,9.2,9.9,92,23,164.2,2021,North Carolina,ACC,JR,QB,12,217,347,62.5,3056,8.8,9,24,9,154.2,369,1009,2.7,17,4,24,6,2,373,1033,2.8,19
6,2022,7,247,MIA,Skylar Thompson,https://www.pro-football-reference.com/players/T/ThomSk00.htm,QB,25,Kansas St.,http://www.sports-reference.com/cfb/players/skylar-thompson-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/ThomSk00_2022.jpg,6/4/1997,"Fort Osage,MO",6'2,223,6.17,Palmyra,"MO, ",MO,BIG12,28.6,Career,Kansas State,Big 12,SR,QB,45,552,885,62.4,7124,8,8.2,42,16,142,2021,Kansas State,Big 12,SR,QB,10,162,233,69.5,2103,9,9.3,12,4,158.9,355,1087,3.1,26,0,0,,0,355,1087,3.1,26
7,2022,7,262,SFO,Brock Purdy,https://www.pro-football-reference.com/players/P/PurdBr00.htm,QB,22,Iowa St.,http://www.sports-reference.com/cfb/players/brock-purdy-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/PurdBr00_2022.jpg,12/27/1999,"Perry,AZ",6'1,220,6.08,,,AZ,BIG12,29.1,Career,Iowa State,Big 12,SR,QB,48,993,1467,67.7,12170,8.3,8.4,81,33,151.1,2021,Iowa State,Big 12,SR,QB,13,292,407,71.7,3188,7.8,7.9,19,8,149,365,1177,3.2,19,0,0,,0,365,1177,3.2,19
8,2021,1,1,JAX,Trevor Lawrence,https://www.pro-football-reference.com/players/L/LawrTr00.htm,QB,21,Clemson,http://www.sports-reference.com/cfb/players/trevor-lawrence-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/LawrTr00_2022.jpg,10/6/1999,"Cartersville,GA",6'6,213,6.5,Knoxville,"TN, ",TN,ACC,24.6,Career,Clemson,ACC,JR,QB,40,758,1138,66.6,10098,8.9,9.8,90,17,164.3,2020,Clemson,ACC,JR,QB,10,231,334,69.2,3153,9.4,10.2,24,5,169.2,231,943,4.1,18,3,-4,-1.3,0,234,939,4,18
9,2021,1,2,NYJ,Zach Wilson,https://www.pro-football-reference.com/players/W/WilsZa00.htm,QB,22,BYU,http://www.sports-reference.com/cfb/players/zach-wilson-3.html,https://www.pro-football-reference.com/req/20180910/images/headshots/WilsZa00_2022.jpg,8/3/1999,"Corner Canyon,UT",6'2,214,6.17,Draper,"UT, ",UT,Independents,27.4,Career,Brigham Young,Ind,JR,QB,30,566,837,67.6,7652,9.1,9.7,56,15,162.9,2020,Brigham Young,Ind,JR,QB,12,247,336,73.5,3692,11,12.6,33,3,196.4,212,642,3,15,3,51,17,0,215,693,3.2,15
